What is your current class standing?,Are you interested in applying to the Informatics major?,What operating system do you typically use?,Using the command-line / terminal,What is your familiarity with: using git for version control,What is your familiarity with: Creating documents with Markdown,What is your familiarity with: Using the R programming language,What is your programming experience?,How many countries have you visited in your life?,Do you consider yourself:,Are you a Seahawks fan?
Sophomore,Maybe,Mac,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",1,Both!,Yes
Freshman,Yes,Mac,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",3,Both!,YES!
Senior,N/A,Mac,Intermediate user,Intermediate user,Have used it a few times,Never used it,"Lots of experience with a scripting language (Python, R, JavaScript, Java, etc.)",2,A dog person...,YES!
Sophomore,Yes,Mac,Intermediate user,Have used it a few times,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",26,A dog person...,YES!
Freshman,Yes,Windows,Have used it a few times,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",12,Both!,Yes
Junior,Yes,Mac,Have used it a few times,Have used it a few times,Have used it a few times,Have used it a few times,Experimented a bit with simple programming,3,Neither,No
Sophomore,Yes,Mac,Have used it a few times,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",3,A dog person...,YES!
Sophomore,Yes,Windows,Never used it,Never used it,Never used it,Never used it,Experimented a bit with simple programming,2,Both!,Yes
Sophomore,Yes,Mac,Have used it a few times,Never used it,Never used it,Never used it,Experimented a bit with simple programming,4,Both!,No
Sophomore,Yes,Mac,Have used it a few times,Never used it,Never used it,Intermediate user,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",2,A dog person...,Yes
Sophomore,Yes,Mac,Have used it a few times,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",9,A dog person...,No
Junior,Maybe,Windows,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",7,Both!,YES!
Sophomore,Yes,Windows,Have used it a few times,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",12,A dog person...,Yes
Sophomore,Yes,Windows,Never used it,Never used it,Never used it,Never used it,Experimented a bit with simple programming,6,Both!,Yes
Sophomore,Yes,Windows,Intermediate user,Intermediate user,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",4,A dog person...,Yes
Freshman,No,Mac,Never used it,Never used it,Never used it,Never used it,Never written code,3,A dog person...,YES!
Sophomore,Yes,"Other: Windows at home, Linux (Ubuntu) at work",Intermediate user,Intermediate user,Have used it a few times,Have used it a few times,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",15,Neither,YES!
Junior,Yes,Windows,Never used it,Never used it,Never used it,Never used it,Experimented a bit with simple programming,2,A cat person....,Yes
Junior,Yes,Mac,Intermediate user,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",5,A dog person...,YES!
Junior,Yes,Windows,Never used it,Never used it,Never used it,Intermediate user,Experimented a bit with simple programming,10,Both!,Yes
Sophomore,Yes,Windows,Have used it a few times,Never used it,Never used it,Never used it,Experimented a bit with simple programming,3,A dog person...,Yes
Sophomore,Yes,Mac,Intermediate user,Intermediate user,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",3,Both!,No
Senior,Yes,Mac,Never used it,Never used it,Never used it,Have used it a few times,Experimented a bit with simple programming,2,Both!,Yes
Sophomore,Yes,Windows,Have used it a few times,Never used it,Never used it,Have used it a few times,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",3,A cat person....,No
Sophomore,Yes,Windows,Never used it,Never used it,Never used it,Never used it,Experimented a bit with simple programming,2,A dog person...,Yes
Junior,Maybe,Windows,Have used it a few times,Never used it,Never used it,Never used it,Experimented a bit with simple programming,3,Neither,YES!
Freshman,Yes,Windows,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",7,A dog person...,Yes
Freshman,Yes,Windows,Never used it,Never used it,Never used it,Never used it,Experimented a bit with simple programming,5,A cat person....,Yes
Freshman,Yes,Mac,Have used it a few times,Have used it a few times,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",1,A cat person....,Yes
Junior,Maybe,Mac,Have used it a few times,Have used it a few times,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",2,A cat person....,YES!
Freshman,Yes,Windows,Have used it a few times,Never used it,Never used it,Never used it,Experimented a bit with simple programming,0,A dog person...,No
Sophomore,Maybe,Mac,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",6,A cat person....,No
Junior,Yes,Mac,Have used it a few times,Have used it a few times,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",11,A cat person....,Yes
Sophomore,Yes,Windows,Have used it a few times,Have used it a few times,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",2,Both!,Yes
Senior,Yes,Windows,Intermediate user,Never used it,Never used it,Have used it a few times,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",6,A cat person....,Yes
Sophomore,Yes,Windows,Have used it a few times,Never used it,Never used it,Intermediate user,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",8,Both!,Yes
Sophomore,Yes,Windows,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",4,A dog person...,YES!
Sophomore,Maybe,Mac,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",5,A cat person....,YES!
Junior,Yes,Mac,Intermediate user,Have used it a few times,Never used it,Never used it,"Lots of experience with a scripting language (Python, R, JavaScript, Java, etc.)",3,A dog person...,YES!
Junior,Yes,Windows,Have used it a few times,Never used it,Never used it,Never used it,Experimented a bit with simple programming,4,Both!,YES!
Freshman,Yes,Mac,Never used it,Never used it,Never used it,Never used it,Never written code,2,Neither,Yes
Sophomore,Yes,Mac,Never used it,Never used it,Never used it,Never used it,Experimented a bit with simple programming,3,Both!,No
Sophomore,Yes,Mac,Have used it a few times,Have used it a few times,Never used it,Never used it,Experimented a bit with simple programming,10,A dog person...,YES!
Senior,N/A,Mac,Have used it a few times,Have used it a few times,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",5,A dog person...,No
Senior,No,Windows,Never used it,Never used it,Never used it,Never used it,Never written code,9,Both!,Yes
Junior,Yes,Windows,Never used it,Never used it,Never used it,Never used it,Experimented a bit with simple programming,15,A dog person...,Yes
Freshman,Yes,Mac,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",3,A dog person...,YES!
Freshman,Yes,Windows,Have used it a few times,Never used it,Never used it,Never used it,Experimented a bit with simple programming,2,A dog person...,Yes
Sophomore,Yes,Windows,Have used it a few times,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",2,Both!,YES!
